File,WC,Nodes,Edges,RE,PE,L1,L2,L3,LCC,LSC,ATD,Density,Diameter,ASP,CC
1152SCN_0_processed,600,236,548,77,93,3,16,51,233,202,4.644068,0.016300036062026686,8,3.349045434364364,0.1601121366970841
1153SCN_0_processed,952,333,871,157,172,6,15,72,332,297,5.231231,0.01253663301856073,11,3.425417682815856,0.13639623190397107
1155SCN_0_processed,457,183,420,75,87,5,12,43,183,164,4.5901637,0.019696150843691827,7,3.273824536119618,0.14814945776297714
1156SCN_0_processed,117,65,106,15,22,0,7,3,60,45,3.2615385,0.04038461538461539,10,3.3745762711864415,0.06788177339901477
1157SCN_0_processed,441,225,389,22,31,1,9,22,218,181,3.4577777,0.014166666666666666,10,3.7360588508857235,0.09188744588744588
1158SCN_0_processed,222,122,202,11,15,3,4,6,122,108,3.3114755,0.024928871426635957,8,3.826852729982388,0.07304593214711924
1159SCN_0_processed,303,132,274,40,48,2,8,12,129,107,4.151515,0.02590793430488087,9,3.574249031007752,0.07599813659305638
1160SCN_0_processed,391,201,354,20,25,6,8,11,200,179,3.522388,0.01606965174129353,8,3.6843216080402037,0.07127154076737954
1161SCN_0_processed,354,148,325,53,63,3,10,20,148,124,4.391892,0.023809523809523808,9,3.4772016914874073,0.09709229516531745
1162SCN_0_processed,300,117,271,41,46,2,5,14,117,106,4.6324787,0.032861774241084586,7,3.1423519009725913,0.1295777319797361
1163SCN_0_processed,591,269,536,49,59,3,11,37,268,233,3.98513,0.013149864062586695,8,3.578064732517189,0.11539946045042741
1164SCN_0_processed,552,244,497,43,51,7,8,18,242,205,4.0737705,0.014808068542130473,10,3.7477452762250922,0.08797544582843367
1165SCN_0_processed,211,95,197,28,29,3,2,13,95,82,4.1473684,0.036954087346024636,7,3.3402015677491597,0.12212717035105826
1166SCN_0_processed,146,75,135,6,11,1,5,9,75,70,3.6,0.04432432432432432,6,3.0162162162162165,0.13234951667209732
1167SCN_0_processed,385,202,359,16,20,2,4,8,202,178,3.5544555,0.016600167479434512,9,3.8371016206098214,0.047505717931664415
1168SCN_0_processed,352,152,332,43,52,3,9,21,151,140,4.368421,0.024137330080167305,7,3.2105077262693147,0.11184609584847312
1169SCN_0_processed,546,215,518,74,85,0,11,35,215,202,4.8186045,0.018821995218430775,7,3.3784394696805022,0.1195774293470625
